model,domain,operator,norm_f,norm_u,mean_col_f,mean_col_u,ratio_frobenius,ratio_per_feature
solution_internal6,internal,solution,3.5444462299346924,33.752681732177734,1.0931000709533691,4.8641180992126465,0.10501228489218488,0.22472728841232467
solution_boundary6,boundary,solution,0.8924265503883362,27.32414436340332,0.34115326404571533,4.958087921142578,0.0326607317879498,0.06880742525580252
flux_internal6_bottom,internal,flux,4.7387495040893555,46.887420654296875,1.555983543395996,7.874156475067139,0.10106654275201818,0.1976063783241911
flux_internal6_right,internal,flux,5.525384902954102,52.34700393676758,1.7219934463500977,8.694119453430176,0.10555303049680695,0.1980641576842727
flux_internal6_top,internal,flux,3.3723254203796387,49.16387176513672,1.1931411027908325,8.13930892944336,0.06859356879966146,0.14658997626625658
flux_internal6_left,internal,flux,4.273605823516846,49.72816467285156,1.3859256505966187,8.194323539733887,0.08593934346123103,0.16913240536285035
