operator,arch,lr,batch_size,activation,test_mse,rel_error
F_boundary8_bottom,"(64, 32)",0.01,32,relu,2.193911101358026e-05,0.0011946974524700317
F_internal8_bottom,"(64, 32)",0.01,64,relu,0.0002527830596396338,0.001660965887526491
S_boundary8,"(128, 128, 128)",0.001,32,silu,4.045008645700169e-06,0.0010424419000179166
S_internal8,"(64, 32)",0.001,32,relu,3.625088807363378e-05,0.000763417250475376
