model,domain,operator,norm_f,norm_u,mean_col_f,mean_col_u,ratio_frobenius,ratio_per_feature
solution_internal6_hyperpara,internal,solution,0.17824332416057587,9.934258460998535,0.06340443342924118,1.524200439453125,0.01794228777722578,0.04159848782879915
solution_boundary6_hyperpara,boundary,solution,0.09516865015029907,17.047239303588867,0.03780429810285568,2.92475962638855,0.005582642940330151,0.012925608573698708
flux_internal6_hyperpara_bottom,internal,flux,0.1278001368045807,12.515851974487305,0.0515599399805069,2.0329928398132324,0.01021106170519533,0.025361594478239085
flux_internal6_hyperpara_right,internal,flux,0.4454972445964813,16.69247817993164,0.18048052489757538,2.721684694290161,0.02668850243770729,0.06631206225916121
flux_internal6_hyperpara_top,internal,flux,0.1388755887746811,12.838109970092773,0.05120556429028511,2.055161237716675,0.010817448136696207,0.0249155946261304
flux_internal6_hyperpara_left,internal,flux,0.4214760959148407,17.48248863220215,0.1708948016166687,2.8735835552215576,0.024108472471047176,0.05947097007363421
