operator,arch,lr,batch_size,activation,test_mse,rel_error
F_internal6_bottom,"(64, 32)",0.001,32,silu,6.183492353914386e-05,0.00393692448650229
F_internal6_bottom,"(64, 128, 64, 32)",0.01,32,relu,0.00044770139972700107,0.006165223789255018
F_internal6_bottom,"(64, 128, 64, 32)",0.001,32,silu,2.6232149145601267e-05,0.0030171300282151826
F_internal6_bottom,"(64, 128, 64, 32)",0.001,32,relu,7.282452575217187e-05,0.005282176817316927
F_internal6_bottom,"(128, 128, 128)",0.01,32,silu,8.393159410096425e-05,0.004570985190278998
F_internal6_bottom,"(64, 128, 64, 32)",0.001,64,relu,7.39008750575262e-05,0.005691941245373473
F_internal6_bottom,"(128, 128, 128)",0.01,64,silu,0.0001228313704424571,0.006480586505555636
F_internal6_bottom,"(128, 128, 128)",0.01,32,relu,0.00046820310709725683,0.005421222121222798
F_internal6_bottom,"(64, 128, 64, 32)",0.001,64,silu,3.1819972582525226e-05,0.0037152392023672137
F_internal6_bottom,"(128, 128, 128)",0.01,64,relu,0.0003075719791013398,0.006259308185045783
F_internal6_bottom,"(128, 128, 128)",0.001,32,silu,2.1634234986679854e-05,0.0031026412560775183
F_internal6_bottom,"(128, 128, 128)",0.001,32,relu,5.5167054617706004e-05,0.004704875369193511
F_internal6_bottom,"(128, 128, 128)",0.001,64,relu,5.290895762755099e-05,0.00441947862774103
F_internal6_bottom,"(128, 128, 128)",0.001,64,silu,2.680919377553437e-05,0.0032942184742779162
F_internal6_right,"(64, 32)",0.01,64,silu,8.464559553301244e-05,0.003235276226289759
F_internal6_right,"(64, 32)",0.01,32,silu,8.804496189246233e-05,0.004644067058381157
F_internal6_right,"(64, 32)",0.01,32,relu,0.00038536908053694266,0.005699914792306372
F_internal6_right,"(64, 32)",0.001,64,silu,9.943197001121007e-05,0.003822120974482633
F_internal6_right,"(64, 32)",0.01,64,relu,0.0003869619661210371,0.007041023963241497
F_internal6_right,"(64, 32)",0.001,32,relu,0.00014003902258212162,0.006576230150775942
F_internal6_right,"(64, 32)",0.001,32,silu,8.680429587002437e-05,0.004714530631902665
F_internal6_right,"(64, 32)",0.001,64,relu,0.00016365529615021453,0.005145475984663356
F_internal6_right,"(64, 128, 64, 32)",0.01,64,relu,0.000280697694675577,0.008696241009041933
F_internal6_right,"(64, 128, 64, 32)",0.01,32,relu,0.00046849378650547024,0.008748306167791695
F_internal6_right,"(64, 128, 64, 32)",0.01,64,silu,0.0001622664220641517,0.008890898969595665
F_internal6_right,"(64, 128, 64, 32)",0.001,32,relu,9.825462314470965e-05,0.006329185120555176
F_internal6_right,"(64, 128, 64, 32)",0.001,32,silu,3.193614691748995e-05,0.0034775266103708657
F_internal6_right,"(64, 128, 64, 32)",0.001,64,relu,7.952638184178795e-05,0.0057508598779197765
F_internal6_right,"(64, 128, 64, 32)",0.001,64,silu,4.41092236932101e-05,0.0036132386292932355
F_internal6_right,"(128, 128, 128)",0.01,32,silu,0.00012911557194651582,0.004791352353860479
F_internal6_right,"(128, 128, 128)",0.01,32,relu,0.0003396529119657186,0.004311033543375293
F_internal6_right,"(128, 128, 128)",0.01,64,silu,7.506883786326008e-05,0.005345574768735993
F_internal6_right,"(128, 128, 128)",0.01,64,relu,0.00022476888600847034,0.005815365538965588
F_internal6_right,"(64, 128, 64, 32)",0.01,32,silu,0.00010481273539783484,0.006076056516068529
F_internal6_right,"(128, 128, 128)",0.001,64,silu,3.102157689422061e-05,0.0033491706839246425
F_internal6_right,"(128, 128, 128)",0.001,32,silu,2.181413991105988e-05,0.0023455049654962363
F_internal6_right,"(128, 128, 128)",0.001,64,relu,6.144086980839348e-05,0.004884339495543009
F_internal6_right,"(128, 128, 128)",0.001,32,relu,5.764692686755422e-05,0.004754381227573112
