operator,arch,lr,batch_size,activation,test_mse,rel_error
S_internal8,"(64, 32)",0.01,64,silu,2.2218194337458245e-05,0.00120180685117391
S_internal8,"(64, 32)",0.01,32,relu,0.00014587153907794144,0.002923763357914278
S_internal8,"(64, 32)",0.01,64,relu,6.54608163977678e-05,0.0008123262877250729
S_internal8,"(64, 32)",0.01,32,silu,4.7452732067338524e-05,0.0024517643586327445
S_internal8,"(64, 32)",0.001,32,silu,2.1942085877905506e-05,0.0020071107431819638
S_internal8,"(64, 32)",0.001,32,relu,3.625088807363378e-05,0.000763417250475376
S_internal8,"(64, 32)",0.001,64,relu,3.8372890710686785e-05,0.001211127985644237
S_internal8,"(64, 32)",0.001,64,silu,2.405199211984331e-05,0.001884770723087299
S_internal8,"(64, 128, 64, 32)",0.01,32,silu,0.006021589322093253,0.0426372968292108
S_internal8,"(64, 128, 64, 32)",0.01,32,relu,0.00012204980460460825,0.002899143267284513
S_internal8,"(64, 128, 64, 32)",0.01,64,silu,0.0015022791983533858,0.01986092720850839
S_internal8,"(64, 128, 64, 32)",0.001,32,relu,2.219144625617749e-05,0.0014982832278830859
S_internal8,"(64, 128, 64, 32)",0.001,32,silu,1.9550840291534163e-05,0.0015992225032625401
S_internal8,"(64, 128, 64, 32)",0.01,64,relu,6.109290268088645e-05,0.001578443325905594
S_internal8,"(64, 128, 64, 32)",0.001,64,silu,2.8839200836551348e-05,0.0022103914468112242
S_internal8,"(64, 128, 64, 32)",0.001,64,relu,2.6350235118065435e-05,0.0011838460925606587
S_internal8,"(128, 128, 128)",0.01,64,relu,6.643625887995263e-05,0.002018778735763956
S_internal8,"(128, 128, 128)",0.01,32,silu,0.009989332359206552,0.047951983534145086
S_internal8,"(128, 128, 128)",0.01,64,silu,2.9657610118900064e-05,0.002163328994998908
S_internal8,"(128, 128, 128)",0.001,32,silu,2.130847411889489e-05,0.0018984890811594222
S_internal8,"(128, 128, 128)",0.001,32,relu,2.1094356580735823e-05,0.001818952638424383
S_internal8,"(128, 128, 128)",0.001,64,silu,2.0258202787065075e-05,0.0015543938045333538
S_internal8,"(128, 128, 128)",0.001,64,relu,1.6004117401280383e-05,0.0015631963080274258
S_boundary8,"(64, 32)",0.01,64,silu,1.3564957836414189e-05,0.0020290646407897573
S_boundary8,"(64, 32)",0.01,32,silu,1.3111561770529079e-05,0.002619930008944379
S_internal8,"(128, 128, 128)",0.01,32,relu,0.00013368995742742604,0.0018577782354692915
S_boundary8,"(64, 32)",0.01,32,relu,3.1292229326546866e-05,0.0034237748279949453
S_boundary8,"(64, 32)",0.01,64,relu,8.289739935207762e-06,0.0014823810364212782
S_boundary8,"(64, 32)",0.001,64,relu,9.442340860589735e-06,0.0016927984180794978
S_boundary8,"(64, 32)",0.001,32,silu,9.681395151720348e-06,0.001958609276028173
S_boundary8,"(64, 32)",0.001,64,silu,1.1989303579542008e-05,0.0019468803650196085
S_boundary8,"(64, 128, 64, 32)",0.01,32,silu,1.4353219760973194e-05,0.002912200397671788
S_boundary8,"(64, 128, 64, 32)",0.01,32,relu,3.0384176586397058e-05,0.003714888678537127
S_boundary8,"(64, 128, 64, 32)",0.01,64,silu,3.596970575309959e-06,0.0013099115173777394
S_boundary8,"(64, 32)",0.001,32,relu,6.523229601335905e-06,0.0010681448059172872
S_boundary8,"(64, 128, 64, 32)",0.01,64,relu,1.993453337101008e-05,0.0028325535449178875
S_boundary8,"(64, 128, 64, 32)",0.001,64,relu,1.5652633309010914e-05,0.002455862971552145
S_boundary8,"(64, 128, 64, 32)",0.001,32,silu,6.211332667151379e-06,0.0017682090144156004
S_boundary8,"(128, 128, 128)",0.01,32,silu,0.00013578625639638632,0.008605757918836509
S_boundary8,"(64, 128, 64, 32)",0.001,32,relu,9.916305067950556e-06,0.0017606404855684441
S_boundary8,"(128, 128, 128)",0.01,32,relu,3.0170948587380866e-05,0.0033180140363710947
S_boundary8,"(64, 128, 64, 32)",0.001,64,silu,7.590702464962565e-06,0.0017841030938543956
S_boundary8,"(128, 128, 128)",0.01,64,silu,8.497763063327772e-06,0.002223411121631678
S_boundary8,"(128, 128, 128)",0.001,64,silu,4.32376572315921e-06,0.0011576840863065376
S_boundary8,"(128, 128, 128)",0.01,64,relu,1.8215022903080224e-05,0.00308755664092683
S_boundary8,"(128, 128, 128)",0.001,32,silu,4.045008645700169e-06,0.0010424419000179166
S_boundary8,"(128, 128, 128)",0.001,64,relu,1.0217789249671634e-05,0.0020432213239090185
F_internal8_bottom,"(64, 32)",0.01,64,silu,7.334122002638261e-05,0.0027001185724257267
S_boundary8,"(128, 128, 128)",0.001,32,relu,8.553910520601806e-06,0.0015786568967891975
F_internal8_bottom,"(64, 32)",0.01,32,relu,0.0004341557664961978,0.007348337974357675
F_internal8_bottom,"(64, 32)",0.01,64,relu,0.0002527830596396338,0.001660965887526491
F_internal8_bottom,"(64, 32)",0.01,32,silu,0.0001715986061136781,0.006621874515446196
F_internal8_bottom,"(64, 32)",0.001,64,silu,9.60666353486366e-05,0.0048017308741461024
F_internal8_bottom,"(64, 32)",0.001,64,relu,0.00014651612727253191,0.004775332789604209
F_internal8_bottom,"(64, 32)",0.001,32,relu,0.00010680029662515672,0.003969336627403385
F_internal8_bottom,"(64, 128, 64, 32)",0.01,32,silu,0.00016066174199197902,0.008074727580890258
F_internal8_bottom,"(64, 128, 64, 32)",0.01,64,silu,8.664047415030447e-05,0.005274463168553522
F_internal8_bottom,"(64, 128, 64, 32)",0.01,64,relu,0.0002936104886560185,0.008200805020508567
F_internal8_bottom,"(64, 32)",0.001,32,silu,6.51060300404944e-05,0.003835670193191309
F_internal8_bottom,"(64, 128, 64, 32)",0.01,32,relu,0.0004008368211024,0.0050098546899312885
F_internal8_bottom,"(64, 128, 64, 32)",0.001,32,silu,2.5608340519868633e-05,0.0029334194179032325
F_internal8_bottom,"(64, 128, 64, 32)",0.001,32,relu,7.969755335222674e-05,0.00558331992185999
F_internal8_bottom,"(64, 128, 64, 32)",0.001,64,relu,8.248811953827888e-05,0.005504258663910255
F_internal8_bottom,"(128, 128, 128)",0.01,32,silu,0.018843035049420514,0.13445942870171806
F_internal8_bottom,"(128, 128, 128)",0.01,32,relu,0.00034954066516417826,0.00819696652137824
F_internal8_bottom,"(64, 128, 64, 32)",0.001,64,silu,4.027418550711965e-05,0.0033086308464128126
F_internal8_bottom,"(128, 128, 128)",0.01,64,relu,0.00022949768406631068,0.006146510445244767
F_internal8_bottom,"(128, 128, 128)",0.01,64,silu,4.176421041068222e-05,0.004244952109587824
F_internal8_bottom,"(128, 128, 128)",0.001,64,silu,3.234668058991831e-05,0.0030330835170096493
F_internal8_bottom,"(128, 128, 128)",0.001,32,silu,2.828413651587068e-05,0.0032167049446941254
F_boundary8_bottom,"(64, 32)",0.01,32,silu,1.910297447693665e-05,0.002485173942505933
