model,base_idx,donor_idx,f_sub_rel_change,output_coeff_rel_change,output_field_rel_change
flux_internal8_top,4898,4697,2.417880082064616,0.013217175,0.013217174839982825
flux_internal8_top,4898,4673,2.180083571120399,0.015250384,0.015250383236947954
flux_internal8_top,4898,432,2.4253056622525957,0.001960429,0.0019604287789018703
flux_internal8_top,4898,1006,1.9384636163582942,0.0010351967,0.0010351967287495062
flux_internal8_top,4898,4196,2.199788573109947,0.0018358226,0.0018358225361463866
flux_internal8_top,4898,1766,0.519827478421487,0.0075817257,0.007581725240933872
flux_internal8_top,4898,5383,1.0514547319941738,0.0024998158,0.0024998157552944852
flux_internal8_top,4898,94,0.9631546062479324,0.0023139021,0.0023139020785507333
flux_internal8_top,4898,3636,2.3803440326819683,0.0023744644,0.0023744644548428446
flux_internal8_top,4898,5247,0.7800374886460171,0.0059640342,0.0059640341151519505
flux_internal8_top,4898,1596,0.8899746033744086,0.00025361794,0.00025361793582655767
flux_internal8_top,4898,235,1.5741173398628594,0.001232524,0.0012325240463232259
flux_internal8_top,4898,3127,0.6896263769004607,0.0040546907,0.004054690639636568
flux_internal8_top,4898,3487,1.8227354006237666,0.0027068648,0.002706864825915979
flux_internal8_top,4898,5583,2.045457908736946,0.002881475,0.002881474932431953
flux_internal8_top,4898,3863,1.6214517020981696,0.002830722,0.0028307218188789378
flux_internal8_top,4898,2894,1.5038336566296688,0.00055803196,0.0005580319244429599
flux_internal8_top,4898,3221,1.6134553367787055,0.0021033182,0.0021033181686117724
flux_internal8_top,4898,3732,1.8398002051788653,0.0028059385,0.0028059381342649178
flux_internal8_top,4898,1548,0.12483161884172708,0.001996461,0.00199646104425534
flux_internal8_top,3668,4697,3.2880351152499836,0.025676461,0.02567646125402648
flux_internal8_top,3668,4673,3.1109345307081058,0.022943437,0.022943436096669004
flux_internal8_top,3668,432,0.041390857722363096,0.0071978,0.007197800205960716
flux_internal8_top,3668,1006,0.32223818655554404,0.002740354,0.0027403541361126047
flux_internal8_top,3668,4196,0.1387174640162163,0.002335024,0.0023350241115472335
flux_internal8_top,3668,1766,1.3359389083005617,0.00628038,0.006280379907521719
flux_internal8_top,3668,5383,0.945048385808491,0.00848534,0.008485339617048381
flux_internal8_top,3668,94,1.034412297125201,0.007839002,0.007839001263335373
flux_internal8_top,3668,3636,0.026001996057868515,0.009054739,0.009054738612483957
flux_internal8_top,3668,5247,1.3061610629328528,0.008820892,0.008820892338453233
flux_internal8_top,3668,1596,1.0568695902107519,0.008689079,0.008689079646749953
flux_internal8_top,3668,235,0.576918956455232,0.0055433605,0.005543360723191073
flux_internal8_top,3668,3127,1.3198077478154835,0.011925195,0.011925195827520094
flux_internal8_top,3668,3487,2.924643208673407,0.027793473,0.02779347240141765
flux_internal8_top,3668,5583,0.3402028309993534,0.012949839,0.012949838538513817
flux_internal8_top,3668,3863,0.563089268207357,0.010955192,0.01095519210304618
flux_internal8_top,3668,2894,0.625533477804217,0.012448551,0.012448551132786919
flux_internal8_top,3668,3221,0.6077251934798575,0.007706306,0.007706306097638323
flux_internal8_top,3668,3732,2.924568268575307,0.02884851,0.028848510313229832
flux_internal8_top,3668,1548,1.6809049682473165,0.011460419,0.011460418340430666
