model,base_idx,donor_idx,f_sub_rel_change,output_coeff_rel_change,output_field_rel_change
flux_boundary8_right,3809,3653,8.024625202977434,0.024039917,0.01467871350077426
flux_boundary8_right,3809,3632,2.4370852356941994,0.0114447875,0.006988159118722287
flux_boundary8_right,3809,335,3.3568897422138138,0.0012276252,0.0007495849490019198
flux_boundary8_right,3809,782,2.0440864651139408,0.0015058868,0.0009194907740676926
flux_boundary8_right,3809,3262,2.3426085377065813,0.0012818368,0.0007826864213085807
flux_boundary8_right,3809,1372,2.892503840185796,0.00037108423,0.0002265831069114257
flux_boundary8_right,3809,4186,1.9237858138773374,0.001616066,0.000986765931087249
flux_boundary8_right,3809,73,2.692149228737177,0.0063417978,0.003872286076413499
flux_boundary8_right,3809,2827,3.371155080763565,0.0012652853,0.0007725801136349125
flux_boundary8_right,3809,4079,2.5590249300448145,0.0035970486,0.002196349181426257
flux_boundary8_right,3809,1241,6.45074536964374,0.010476425,0.006396879427296644
flux_boundary8_right,3809,182,1.4828906372316757,0.0018418287,0.00112461604129756
flux_boundary8_right,3809,2431,1.6361824390926092,0.0075035486,0.004581648524532619
flux_boundary8_right,3809,2711,10.362279477752871,0.018995449,0.011598573937198835
flux_boundary8_right,3809,4341,2.383032585427866,0.012363086,0.00754886989822267
flux_boundary8_right,3809,3005,1.5461707289154771,0.0031330506,0.001913033011090478
flux_boundary8_right,3809,2250,2.921060339306955,0.0009467843,0.0005781041717690786
flux_boundary8_right,3809,2505,1.806585623069235,0.0035395275,0.0021612269118309194
flux_boundary8_right,3809,2901,3.3085059720218917,0.0010682597,0.0006522767956454598
flux_boundary8_right,3809,1202,1.1055656401260145,0.0058698663,0.0035841259980110484
flux_boundary8_right,2853,3653,2.887006396551128,0.012854767,0.0026804651812897848
flux_boundary8_right,2853,3632,1.4168778516050236,0.04752816,0.009910530674388832
flux_boundary8_right,2853,335,0.0998936400641942,0.011313013,0.002358979792950092
flux_boundary8_right,2853,782,0.2834302684749182,0.0068144184,0.0014209368106904328
flux_boundary8_right,2853,3262,0.1881316425061867,0.009969937,0.002078922764055311
flux_boundary8_right,2853,1372,0.06824938665341554,0.006537168,0.0013631246347186985
flux_boundary8_right,2853,4186,0.2978324282485931,0.0015221996,0.00031740775937235977
flux_boundary8_right,2853,73,1.4801026170933314,0.0021751306,0.0004535564074475473
flux_boundary8_right,2853,2827,0.10426104377735243,0.0116420835,0.0024275972598329057
flux_boundary8_right,2853,4079,0.16863528745936895,0.008730266,0.001820427538048224
flux_boundary8_right,2853,1241,2.5114362088847915,0.006900336,0.0014388521632851812
flux_boundary8_right,2853,182,0.4216691134873609,0.0011964812,0.00024948924576024
flux_boundary8_right,2853,2431,1.0923759862181015,0.0029240213,0.0006097144439732709
flux_boundary8_right,2853,2711,3.5420440717763855,0.03452869,0.007199892743477829
flux_boundary8_right,2853,4341,1.3298703916865025,0.029682606,0.006189391599619096
flux_boundary8_right,2853,3005,0.4516436951538541,0.0026392823,0.0005503409058366086
flux_boundary8_right,2853,2250,0.058387191499074204,0.009446691,0.001969815868092649
flux_boundary8_right,2853,2505,0.43189688639371415,0.0046170633,0.0009627461490908833
flux_boundary8_right,2853,2901,0.08958781613036379,0.01063956,0.002218552156663926
flux_boundary8_right,2853,1202,0.8054960174536664,0.0021352728,0.0004452452889602136
