model,base_idx,donor_idx,f_sub_rel_change,output_coeff_rel_change,output_field_rel_change
flux_boundary8_bottom,3809,3653,8.024625202977434,0.006659783,0.0035516663209950697
flux_boundary8_bottom,3809,3632,2.4370852356941994,0.009568106,0.005102676571013275
flux_boundary8_bottom,3809,335,3.3568897422138138,0.0068533397,0.003654890109396662
flux_boundary8_bottom,3809,782,2.0440864651139408,0.006750728,0.0036001672323000477
flux_boundary8_bottom,3809,3262,2.3426085377065813,0.006365785,0.003394876839335301
flux_boundary8_bottom,3809,1372,2.892503840185796,0.0038406344,0.0020482123988276118
flux_boundary8_bottom,3809,4186,1.9237858138773374,0.003955214,0.0021093179190737918
flux_boundary8_bottom,3809,73,2.692149228737177,0.0027246387,0.001453051418934208
flux_boundary8_bottom,3809,2827,3.371155080763565,0.006893785,0.0036764597071524546
flux_boundary8_bottom,3809,4079,2.5590249300448145,0.005108128,0.002724167543381269
flux_boundary8_bottom,3809,1241,6.45074536964374,0.0021314526,0.0011367049017039184
flux_boundary8_bottom,3809,182,1.4828906372316757,0.006316987,0.0033688527730653946
flux_boundary8_bottom,3809,2431,1.6361824390926092,0.0049144723,0.0026208908840369485
flux_boundary8_bottom,3809,2711,10.362279477752871,0.0026116855,0.0013928134057088104
flux_boundary8_bottom,3809,4341,2.383032585427866,0.003945506,0.0021041408054932056
flux_boundary8_bottom,3809,3005,1.5461707289154771,0.0036902498,0.001968012367816109
flux_boundary8_bottom,3809,2250,2.921060339306955,0.005308675,0.0028311197401780456
flux_boundary8_bottom,3809,2505,1.806585623069235,0.0051109013,0.0027256466302974726
flux_boundary8_bottom,3809,2901,3.3085059720218917,0.0064687408,0.0034497832228335256
flux_boundary8_bottom,3809,1202,1.1055656401260145,0.0052574147,0.0028037823055305847
flux_boundary8_bottom,2853,3653,2.887006396551128,0.004543992,0.0021457611740087583
flux_boundary8_bottom,2853,3632,1.4168778516050236,0.007587947,0.003583175489181422
flux_boundary8_bottom,2853,335,0.0998936400641942,0.0016871903,0.0007967239788488793
flux_boundary8_bottom,2853,782,0.2834302684749182,0.0010009502,0.00047266807507091426
flux_boundary8_bottom,2853,3262,0.1881316425061867,0.0018213178,0.0008600615267567421
flux_boundary8_bottom,2853,1372,0.06824938665341554,0.0005544421,0.00026181828975807466
flux_boundary8_bottom,2853,4186,0.2978324282485931,0.0002851516,0.00013465410581003768
flux_boundary8_bottom,2853,73,1.4801026170933314,0.0016381242,0.0007735539174158245
flux_boundary8_bottom,2853,2827,0.10426104377735243,0.0017526131,0.00082761788374562
flux_boundary8_bottom,2853,4079,0.16863528745936895,0.000397248,0.00018758819458226331
flux_boundary8_bottom,2853,1241,2.5114362088847915,0.0023594652,0.0011141852276044203
flux_boundary8_bottom,2853,182,0.4216691134873609,0.00027434606,0.0001295515205229634
flux_boundary8_bottom,2853,2431,1.0923759862181015,0.0005157936,0.00024356773931944898
flux_boundary8_bottom,2853,2711,3.5420440717763855,0.005312316,0.0025085784636234352
flux_boundary8_bottom,2853,4341,1.3298703916865025,0.0065039513,0.003071291787301266
flux_boundary8_bottom,2853,3005,0.4516436951538541,0.0023527995,0.0011110374289052248
flux_boundary8_bottom,2853,2250,0.058387191499074204,0.0015446492,0.0007294132594043486
flux_boundary8_bottom,2853,2505,0.43189688639371415,0.0008768477,0.0004140644943295607
flux_boundary8_bottom,2853,2901,0.08958781613036379,0.0013606767,0.0006425379057273346
flux_boundary8_bottom,2853,1202,0.8054960174536664,0.00052657136,0.00024865717752207544
