model,base_idx,donor_idx,f_sub_rel_change,output_coeff_rel_change,output_field_rel_change
flux_internal8_bottom,4898,4697,2.417880082064616,0.017752057,0.017752057745225387
flux_internal8_bottom,4898,4673,2.180083571120399,0.00787458,0.007874579559802067
flux_internal8_bottom,4898,432,2.4253056622525957,0.0067561176,0.006756117420882613
flux_internal8_bottom,4898,1006,1.9384636163582942,0.0054067685,0.005406768395557103
flux_internal8_bottom,4898,4196,2.199788573109947,0.006577812,0.006577812014616586
flux_internal8_bottom,4898,1766,0.519827478421487,0.012120221,0.012120220082979569
flux_internal8_bottom,4898,5383,1.0514547319941738,0.0028619526,0.0028619526163698008
flux_internal8_bottom,4898,94,0.9631546062479324,0.0010913566,0.0010913566430229022
flux_internal8_bottom,4898,3636,2.3803440326819683,0.0064130886,0.006413088520912649
flux_internal8_bottom,4898,5247,0.7800374886460171,0.0006580656,0.0006580655817849175
flux_internal8_bottom,4898,1596,0.8899746033744086,0.0015520599,0.001552059842418759
flux_internal8_bottom,4898,235,1.5741173398628594,0.0037509983,0.0037509982394326293
flux_internal8_bottom,4898,3127,0.6896263769004607,0.0008390401,0.0008390401004696985
flux_internal8_bottom,4898,3487,1.8227354006237666,0.0034148567,0.003414856796565496
flux_internal8_bottom,4898,5583,2.045457908736946,0.010219005,0.010219004435096633
flux_internal8_bottom,4898,3863,1.6214517020981696,0.0008100235,0.0008100235046365262
flux_internal8_bottom,4898,2894,1.5038336566296688,0.0036401574,0.003640157327323066
flux_internal8_bottom,4898,3221,1.6134553367787055,0.005251251,0.0052512512990027975
flux_internal8_bottom,4898,3732,1.8398002051788653,0.004613749,0.004613749228969396
flux_internal8_bottom,4898,1548,0.12483161884172708,0.0013864002,0.0013864002586997052
flux_internal8_bottom,3668,4697,3.2880351152499836,0.0034776363,0.0034776360899034355
flux_internal8_bottom,3668,4673,3.1109345307081058,0.0060777925,0.0060777923055330575
flux_internal8_bottom,3668,432,0.041390857722363096,0.001923532,0.0019235319821219409
flux_internal8_bottom,3668,1006,0.32223818655554404,0.000595594,0.0005955939634444034
flux_internal8_bottom,3668,4196,0.1387174640162163,0.0017203178,0.0017203177379670562
flux_internal8_bottom,3668,1766,1.3359389083005617,0.010675969,0.010675968923994915
flux_internal8_bottom,3668,5383,0.945048385808491,0.010593906,0.010593906247609445
flux_internal8_bottom,3668,94,1.034412297125201,0.005722129,0.005722128534552945
flux_internal8_bottom,3668,3636,0.026001996057868515,0.0013351013,0.0013351012529892313
flux_internal8_bottom,3668,5247,1.3061610629328528,0.003646686,0.003646685929617331
flux_internal8_bottom,3668,1596,1.0568695902107519,0.00978515,0.009785149783956592
flux_internal8_bottom,3668,235,0.576918956455232,0.0035582,0.0035581999338370027
flux_internal8_bottom,3668,3127,1.3198077478154835,0.00010843499,0.00010843498268553036
flux_internal8_bottom,3668,3487,2.924643208673407,0.009381673,0.009381672662626165
flux_internal8_bottom,3668,5583,0.3402028309993534,0.0036252744,0.003625273974000194
flux_internal8_bottom,3668,3863,0.563089268207357,0.0059763575,0.005976357248362261
flux_internal8_bottom,3668,2894,0.625533477804217,0.00634231,0.006342309792950958
flux_internal8_bottom,3668,3221,0.6077251934798575,0.0019976508,0.0019976507697308907
flux_internal8_bottom,3668,3732,2.924568268575307,0.00514188,0.005141879507121891
flux_internal8_bottom,3668,1548,1.6809049682473165,0.0134906415,0.013490640603407295
